acc_x,acc_y,acc_z
-0.092,-0.117,0.158
0.038,-0.019,-0.17
-0.751,1.474,-0.94
-2.83,0.59,-0.221
1.611,-0.838,-1.113
-0.009,-2.424,-1.651
2.174,-0.679,-2.034
-4.506,5.656,0.64
1.331,0.094,-1.561
-2.849,2.071,0.157
1.909,0.73,-1.559
0.68,2.184,-0.382
-0.238,0.9,2.494
1.583,0.233,2.306
-0.294,-1.197,3.645
-1.521,-2.804,4.52
1.628,-3.021,8.117
-0.428,1.042,9.237
3.073,5.214,10.355
5.609,6.946,10.396
5.544,3.574,14.944
7.771,38.5,25.133
-11.387,8.151,-10.267
-21.478,8.982,14.697
-7.92,11.493,0.514
-13.186,5.111,-6.554
-4.715,1.514,-0.989
-6.035,2.8,-1.274
0.105,-0.074,-0.972
-1.458,0.8,0.404
0.329,0.28,0.456
0.654,0.113,0.083
0.842,-0.689,0.531
0.798,-0.073,0.911
0.258,-0.251,0.564
0.291,0.362,0.879
-0.391,0.11,0.657
-0.143,-0.017,0.611
-0.045,0.305,0.498
-0.418,0.457,-0.073
0.181,-0.542,0.038
-0.402,0.606,-0.031
0.09,-0.108,0.192
-0.112,0.153,0.071
-0.553,-0.093,0.067
-0.135,0.023,0.447
-0.002,0.255,0.148
-0.28,0.441,0.302
-0.403,-0.159,-0.344
0.388,0.361,-0.099
-1.218,0.473,-0.193
-0.269,-0.396,0.346
0.035,1.433,-0.671
-1.954,0.051,0.502
0.196,0.884,-0.613
0.177,0.667,0.064
-1.092,-1.223,0.728
0.637,2.012,-0.084
1.033,-0.424,0.466
-2.088,0.021,0.464
2.756,-0.73,-0.08
-0.66,-0.87,0.066
0.727,0.503,0.864
-0.131,-0.129,0.467
0.121,1.277,0.819
-0.299,0.36,1.116
0.01,0.025,1.025
0.124,0.297,0.7
0.046,0.311,1.406
-0.592,-0.152,0.419
1.155,-0.38,0.565
-0.285,-1.072,-0.209
0.365,3.027,0.084
-0.57,0.028,-0.872
-0.5,0.623,-0.828
-0.855,0.688,0.156
-0.503,0.076,-0.166
-0.294,0.147,-0.548
-0.401,0.387,-0.38
-0.245,-0.057,-0.403
-0.185,0.138,0.453
-0.144,-0.238,0.094
-0.15,0.237,-0.3
-0.004,0.169,-0.197
-0.558,-0.063,-0.141
0.144,-0.069,-0.08
-0.255,0.164,0.023
0.294,0.07,0.008
0.112,0.308,-0.162
0.082,-0.205,-0.046
-0.309,-0.131,0.257
