acc_x,acc_y,acc_z
-0.339,-0.048,-0.3
-2.176,0.812,0.798
-1.906,0.726,-0.831
7.991,0.369,2.118
3.731,-1.938,6.759
2.454,-1.824,7.683
0.387,0.288,6.013
6.042,-7.547,-3.304
-7.311,13.938,0.789
6.678,4.305,3.139
-5.081,3.47,-1.963
-5.252,4.48,-5.633
-2.315,0.736,-0.924
-0.901,1.121,-1.628
-0.22,-0.059,-0.962
-0.012,0.31,-0.245
0.851,-0.441,-0.374
0.308,-0.422,0.084
0.706,-0.195,0.025
-0.304,0.022,-0.285
-0.266,0.187,-0.405
-0.049,0.263,-0.473
-0.527,-0.343,-0.025
-0.554,-0.03,-0.344
0.158,0.82,-0.243
-0.14,-0.232,-0.003
-0.725,1.133,-0.555
0.184,0.905,-0.332
-1.555,-0.096,0.789
0.566,1.264,-0.615
-0.214,-0.477,0.072
0.571,0.127,0.675
0.912,-0.771,-0.878
0.21,0.628,0.893
-0.143,0.121,0.171
-0.083,0.052,0.661
1.15,0.134,0.901
-0.043,-0.519,0.811
0.438,-0.436,1.366
0.639,-0.108,1.004
0.383,-0.24,1.648
1.449,-0.344,0.414
-0.641,0.326,0.209
-0.614,1.547,0.752
0.77,-0.011,0.372
-0.153,-0.142,-1.038
-1.221,0.033,-0.036
-0.242,0.466,-0.283
-1.085,0.056,-0.675
-0.237,0.66,-0.818
-0.194,0.213,-0.954
-0.492,0.089,0.093
0.037,-0.097,-0.18
-0.434,-0.042,-0.152
-0.537,-0.04,-0.129
-0.409,0.031,-0.06
-0.205,0.066,-0.282
-0.026,0.096,-0.168
-0.19,0.027,-0.156
0.026,0.12,-0.176
0.047,0.123,-0.165
-0.374,-0.133,-0.266
-0.156,-0.162,0.123
-0.365,0.241,0.017
5.079,0.497,0.839
0.685,1.738,2.544
6.54,-0.697,5.706
4.718,-1.199,5.544
1.878,-1.337,3.703
-0.476,-1.862,-1.747
-8.62,14.404,0.638
0.964,6.924,4.724
-4.841,6.033,-5.456
-5.399,4.084,-4.054
-2.277,0.605,-0.682
-1.316,0.532,-1.355
-0.074,-1.179,-0.89
-0.096,-0.235,-0.337
0.866,-0.504,-0.039
0.135,-0.526,-0.064
0.186,-0.337,-0.106
0.437,-0.208,-0.219
-0.1,-0.433,-0.284
0.067,-0.92,0.332
0.625,-0.123,-0.047
-0.378,0.45,0.082
-0.504,0.161,0.128
-0.613,0.219,-0.445
-0.973,0.783,-0.048
-0.278,1.285,-0.375
-0.909,-0.012,-0.387
-0.573,0.925,-0.298
-0.827,-0.405,0.268
-0.201,1.557,-0.15
0.097,-0.398,0.253
0.39,0.626,0.684
1.446,-0.426,-0.175
-0.582,-0.01,0.698
1.566,0.145,0.06
-0.359,-0.059,0.993
1.251,0.397,1.324
-0.387,-1.027,1.052
1.184,0.293,1.119
0.413,-0.569,1.292
0.49,-0.088,0.631
0.081,-0.053,-0.095
2.299,0.176,-0.045
-0.98,-0.24,0.574
-0.055,-0.179,0.116
-1.583,0.44,-0.33
-0.545,0.574,-1.56
-0.413,0.703,-1.056
-0.042,0.308,-0.458
0.071,0.045,0.119
0.038,-0.268,0.038
-0.181,0.094,-0.166
-0.384,-0.002,-0.233
-0.124,0.057,-0.266
-0.42,-0.014,-0.191
-0.227,0.275,-0.3
-0.342,-0.129,-0.368
-1.387,-0.144,-0.318
2.806,0.6,2.558
4.719,-0.152,1.841
4.951,-0.619,4.877
8.325,-1.956,9.278
1.262,-0.671,6.86
-2.477,0.61,-1.7
-8.707,17.376,-4.438
-0.333,4.534,9.314
-7.62,4.117,1.173
-4.284,4.129,-4.851
-3.866,3.211,-1.423
-1.663,-0.221,-1.661
0.237,0.185,-0.404
-0.127,-0.293,-0.967
-0.023,-0.038,-0.046
0.269,-0.43,-0.21
0.03,0.251,0.026
-0.159,-0.35,-0.172
0.118,-0.353,-0.115
0.117,-0.421,0.271
-0.461,-0.064,-0.687
0.097,-0.101,0.467
-1.128,0.099,-0.959
-0.119,0.775,-0.294
-0.589,0.327,0.278
-0.414,0.553,-0.417
-0.02,-0.339,-0.082
0.325,-0.905,0.184
0.391,-0.767,0.511
1.088,-0.527,0.114
1.177,1.275,0.549
0.052,-1.06,-0.227
-0.258,-0.169,0.903
1.493,-0.088,0.443
-0.675,-0.303,0.425
1.306,0.702,1.283
-0.804,-0.379,0.898
0.984,0.052,1.545
0.338,-0.479,0.443
-1.586,-0.491,0.36
0.615,1.518,0.404
0.374,0.102,0.355
-0.212,-0.056,-0.382
-0.694,0.343,0.04
-0.423,0.267,-0.567
-0.575,-0.044,-0.413
0.377,0.169,-0.183
0.372,0.251,-0.153
