acc_x,acc_y,acc_z
0.042,-0.088,-0.081
-0.021,0.078,-0.083
-0.189,0.017,-0.255
-0.383,-0.035,0.068
-1.38,-0.198,-0.009
2.228,1.331,2.675
6.09,-1.836,2.614
7.012,3.422,6.578
7.182,0.511,9.913
-3.558,-6.682,-1.919
-9.433,24.658,-1.15
11.166,8.063,4.094
-13.231,6.446,-9.462
-5.457,1.634,-2.025
-3.638,0.356,-0.468
-0.468,-0.739,-1.53
0.469,-1.073,0.288
0.847,-0.287,-0.009
0.777,-1.33,0.129
0.391,-0.3,0.257
0.051,-0.752,-0.292
0.179,-0.109,-0.142
0.397,-0.349,-0.134
-0.112,0.152,0.19
-0.082,-0.145,-0.252
-0.278,0.271,-0.114
-0.023,0.012,-0.045
-0.713,0.288,-0.044
-0.674,0.39,-0.266
-1.955,0.149,-0.112
0.058,-0.154,-0.738
-0.643,0.951,-0.097
0.184,-0.735,-0.1
-0.723,-0.525,0.268
0.811,0.094,-0.505
-0.27,-0.1,0.345
0.819,-0.669,0.931
0.197,-0.544,0.093
1.192,0.236,0.221
0.382,-0.724,0.458
0.572,-0.533,0.525
1.676,0.008,0.791
-0.632,-0.522,0.382
1.773,0.619,0.625
-0.779,-0.344,0.938
1.255,0,1.16
-0.019,-1.124,0.869
1.432,-0.394,1.588
-0.291,-0.928,0.64
1.613,-0.27,1.002
0.101,-0.213,0.329
0.698,0.039,-0.574
0.681,0.068,-0.591
1.401,-1.295,-0.096
-0.863,0.214,0.291
-2.944,0.822,-0.167
2.993,1.115,-1.934
-2.335,0.666,-0.238
0.326,0.02,-0.108
0.058,-0.565,-0.818
-1.033,0.417,0.181
0.355,-0.185,-0.164
0.046,0.015,0.185
0.167,0.054,-0.305
-0.223,0.037,-0.03
0.024,0.131,-0.293
-0.018,0.006,-0.198
-0.691,-0.082,-0.048
-0.054,0.141,0.009
-0.144,-0.101,-0.316
-0.394,0.093,0.015
-0.838,-0.375,0.623
1.663,0.584,-0.89
0.148,0.444,-0.437
1.476,0.964,1.854
1.355,3.483,2.495
8.257,-6.337,8.294
5.493,2.542,6.018
3.498,-10.406,3.145
-17.083,21.17,3.727
-5.548,9.319,-5.374
-6.583,6.103,-7.109
-2.01,-1.16,-1.674
-3.018,1.048,-1.261
1.125,-0.47,-0.443
0.393,-0.695,0.77
0.411,-0.365,0.006
0.228,-0.58,-0.152
0.494,-0.194,0.186
-0.18,-0.179,-0.048
0.499,0.05,-0.093
0.304,-0.155,0.076
-0.613,0.059,-0.213
-0.488,-0.164,-0.322
-0.169,0.005,-0.176
-0.108,-0.138,-0.049
0.068,-0.078,0.271
0.017,-0.356,-0.2
-0.37,0.278,-0.106
-0.19,0.131,-0.477
-0.517,0.389,-0.08
-0.371,0.272,-0.173
-0.855,0.137,-0.786
0.162,-0.105,-0.263
-0.978,-0.32,0.674
-0.169,1.001,-0.587
0.266,-0.355,-0.032
-0.185,-0.024,0.917
0.41,0.165,-0.727
-0.038,-0.52,0.709
1.491,0.633,0.697
0.786,-1.08,0.781
1.016,0.165,1.597
0.839,-1.232,0.251
1.318,0.363,1.763
0.448,-0.85,0.519
1.481,-0.076,1.617
0.616,-1.2,0.857
1.361,-0.061,0.43
-0.475,0.054,-0.529
-0.785,-0.021,-0.868
1.332,-0.203,-0.464
0.955,-0.731,0.042
-0.322,0.182,-0.524
-0.884,0.88,-0.519
-1.22,0.751,-2.284
-0.262,-0.062,0.213
-0.376,-0.145,0.276
0.222,0.036,-0.204
-0.194,-0.139,-0.138
-0.102,-0.256,0.283
-0.295,0.189,-0.497
0.366,0.38,-0.374
-0.842,-0.09,-0.447
-0.149,0.045,-0.37
0.073,0.079,-0.046
-0.49,-0.002,-0.521
-0.128,0.109,-0.019
0.211,-0.232,0.094
-0.16,-0.013,0.089
0.12,0.199,-0.315
-0.341,0.007,-0.072
0.207,0.135,-0.064
-0.193,-0.142,-0.308
-0.278,-0.153,0.203
0.05,-0.127,-0.048
-0.131,0.153,-0.051
0.031,-0.036,-0.247
-0.453,-0.107,0.061
-0.965,1.224,-1.793
0.284,0.534,-0.505
5.961,0.167,0.867
7.21,-1.154,4.927
7.76,-0.217,9.219
-1.036,1.357,6.657
8.144,-1.28,0.43
-2.007,13.792,6.754
-9.002,7.766,-3.408
-7.263,5.517,-7.484
-4.228,0.122,0.503
0.215,-0.875,-2.701
-0.808,-1.021,0.133
0.439,-0.207,0.164
0.859,-0.422,-0.262
0.816,-0.661,0.277
1.469,-0.567,0.056
-0.003,-0.297,0.242
0.839,-0.4,-0.035
-0.622,-0.76,0.122
-0.059,0.228,0.108
-0.053,-0.566,-0.389
-1.165,0.141,-0.216
-0.893,1.087,-0.412
-2.529,-0.07,-0.722
0.146,-0.84,-0.072
-0.753,0.668,-0.896
-0.287,-0.325,-0.193
-0.452,-1.108,0.412
1.011,0.402,-0.436
0.472,-0.787,0.592
0.415,-0.687,2.034
2.502,0.135,0.867
0.425,-0.832,1.554
1.196,-0.298,1.483
0.618,-0.624,1.087
0.954,0.056,1.388
0.139,-0.535,0.846
0.91,-0.525,1.474
1.123,-0.139,0.271
-0.398,0.084,0.765
-0.891,0.322,-0.21
2.959,-0.396,-0.141
-0.076,-0.954,0.653
0.432,-0.24,-0.577
-0.762,0.577,0.038
-1.472,0.66,-0.202
-1.114,0.003,-1.241
-0.54,0.031,-0.078
0.763,0.308,-0.165
-0.539,-0.236,-0.163
-0.271,-0.062,-0.194
-0.02,0.001,-0.38
-0.166,-0.008,-0.364
-0.321,0.037,-0.211
0.26,-0.092,-0.059
-0.029,-0.05,-0.171
0.03,-0.122,-0.011
-0.171,-0.011,0.085
-0.032,0.008,-0.309
-0.494,0.291,-0.257
2.777,0.142,-2.147
0.571,0.684,3.921
5.225,0.007,5.26
6.893,-2.078,4.577
1.481,3.18,2.33
3.128,-1.942,2.383
-3.067,14.952,3.188
-1.807,4.994,2.901
-9.594,5.879,-6.212
-4.583,1.054,-1.128
-2.446,0.236,-0.879
-0.744,-0.022,-1.338
-0.059,-0.579,-0.272
0.663,-0.741,-0.356
0.227,-0.473,-0.17
0.589,-0.738,-0.076
0.378,-0.564,0.096
-0.113,-0.698,-0.088
0.351,-0.526,0.108
-0.351,-0.222,-0.26
-0.345,-0.044,0.318
-0.607,-0.457,-0.477
0.229,-0.709,-0.252
1.092,-0.379,-0.27
-0.305,-0.552,-0.101
-0.386,0.396,-0.405
-0.263,0.715,0.004
-0.579,0.544,-0.119
-0.214,-0.509,-0.043
-0.32,0.312,-0.45
-0.362,-0.507,-0.205
-0.685,0.603,-0.767
0.671,-1.203,0.459
-0.498,0.035,0.372
1.715,0.371,0.111
-0.579,-0.335,1.692
1.61,0.109,1.078
1.403,-1.244,1.64
1.198,-0.642,1.702
0.928,-0.699,1.33
0.725,-0.563,1.116
-0.042,0.13,0.895
0.742,-0.308,0.901
1.019,0.176,0.633
0.205,0.302,-0.759
-0.803,0.189,-0.179
-0.362,-0.416,1.078
-1.029,0.331,-1.295
-2.772,1.07,-2.152
0.694,-0.039,-0.428
1.666,0.096,0.926
-0.367,0.221,0.037
-0.762,-0.057,-0.288
-0.336,-0.044,-0.284
-0.074,-0.023,-0.211
-0.586,-0.171,-0.204
0.362,0.129,0.094
-0.017,-0.141,-0.161
0.023,0.207,-0.074
-0.369,-0.355,-0.254
-1.246,0.133,0.631
2.931,1.11,-0.026
2.613,-0.504,0.202
-0.364,3.864,2.737
6.143,-2.375,9.141
1.141,-0.994,3.224
5.172,-6.24,1.779
-18.419,17.103,-0.371
1.316,4.421,1.99
-4.82,3.609,-8.305
-4.449,3.053,-3.152
-1.022,0.002,-0.465
-0.292,-0.245,-1.268
-0.139,-0.448,-0.358
0.262,0.429,0.273
-0.074,-0.466,-0.256
0.37,0.002,0.175
-0.467,-0.606,-0.211
-0.105,-0.337,0.18
0.219,-0.078,0.07
-0.107,-0.558,0.088
0.12,0.119,0.038
0.05,-0.068,-0.201
-0.06,0.496,-0.408
-0.973,0.073,-0.398
-0.888,0.71,-0.354
-0.19,0.361,-0.661
-0.394,-0.601,-0.064
0.019,0.064,-0.303
0.184,-0.379,-0.311
0.556,-0.952,0.445
0.791,0.09,0.088
-0.031,-1.313,0.036
-0.03,0.681,0.782
0.53,-0.635,-0.022
0.152,0.512,1.403
-0.074,-0.395,0.098
1.369,-0.236,1.052
0.089,-0.053,1.576
0.722,-0.047,0.744
0.737,-0.687,1.012
0.692,-0.204,1.503
0.287,-0.272,0.757
0.279,0.051,1.161
-1.62,3.262,0.77
-0.119,0.609,0.096
-0.214,0.336,-0.258
-0.642,-0.216,-0.354
-0.922,0.28,-0.534
0.943,0.815,-0.33
0.721,0.07,0.217
-0.581,0.061,-0.178
-0.027,-0.093,-1.086
0.554,0.75,-0.513
-1.332,0.443,0.033
-0.098,-0.052,-0.385
-0.346,-0.177,-0.188
-0.259,0.213,-0.191
-0.359,-0.249,-0.24
1.19,0.86,0.191
2.353,0.293,1.771
0.499,0.002,5.883
1.886,1.277,5.692
1.568,-2.569,7.638
3.076,-4.188,2.938
-18.173,16.783,-0.093
-5.005,7.377,3.429
-6.798,4.339,-8.884
-0.966,0.982,-0.487
-1.086,-0.019,-2.672
0.337,0.065,0.252
-0.447,-0.191,0.007
0.622,-0.115,-0.034
0.344,-0.213,1.214
0.321,-0.376,-0.394
-0.278,-0.226,0.507
0.569,-0.39,0.041
-0.525,-0.014,0.042
-0.027,0.131,-0.08
-0.365,-0.238,-0.245
-0.498,-0.028,0.029
-0.59,0.205,0.114
-0.176,0.404,-0.241
-0.473,-0.267,-0.34
-0.238,-0.661,0.149
-0.167,0.916,-0.569
-0.017,-0.327,-0.538
-0.343,-0.294,-0.258
-0.133,0.159,-0.906
0.136,-0.712,0.45
-0.11,1.191,0.401
0.503,-1.253,-0.047
-0.009,0.098,0.729
1.735,-0.378,1.099
-0.062,-0.906,1.419
1.771,-0.527,0.719
