acc_x,acc_y,acc_z
0.676,-0.178,-0.095
0.852,0.741,0.809
1.112,0.074,0.85
-0.293,0.295,1.162
0.823,0.392,1.753
0.05,0.611,1.236
0.229,-0.939,0.577
0.665,-0.175,-0.517
0.534,0.714,-1.526
-0.097,1.662,-1.429
-0.027,-0.06,0.123
-0.112,0.454,0.512
-0.633,0.507,0.053
-0.502,0.606,0.209
0.211,0.451,0.06
-0.271,0.101,-0.256
-0.813,0.413,0.229
0.164,0.192,0.037
-0.604,0.134,-0.536
-0.797,-0.059,-0.134
-0.475,0.011,-0.114
-0.92,0.172,0.35
0.023,0.266,0.028
-0.407,-0.435,-0.212
0.172,0.299,0.013
-0.406,0.055,0.183
-0.168,0.032,-0.105
0.929,0.118,-1.071
-0.183,0.187,0.293
-0.028,0.031,0.485
