acc_x,acc_y,acc_z
-0.227,-0.022,0.379
-0.388,0.397,0.32
-0.886,0.184,-0.749
-0.717,-0.078,0.237
0.158,0.251,0.017
-0.113,-0.104,0.156
-0.18,-0.165,0.22
-0.179,0.067,0.027
0.062,0.242,-0.095
-0.394,-0.003,-0.007
0.015,-0.132,-0.011
-0.312,-0.502,-0.084
-0.173,0.279,-0.058
-0.221,0.026,-0.051
-0.322,-0.104,0.105
0.118,-0.301,-0.197
0.085,0.054,0.007
0.868,0.309,0.027
0.389,0.2,-0.029
0.418,0.383,-0.141
-0.051,-0.279,-0.123
-0.076,0.393,-0.11
-0.087,-0.412,-0.272
-1.916,-0.213,-0.836
-0.085,0.564,0.978
1.172,-0.619,0.817
0.379,-0.449,-0.331
-0.149,0.323,-0.423
-0.012,-0.102,-0.283
0.004,0.211,-0.419
0.635,0.039,-0.029
0.056,0.489,0.209
-0.269,0.199,0.021
-0.056,-0.132,0.465
0.006,-0.123,0.491
0.457,-0.142,0.344
0.121,-0.041,-0.275
0.164,0.324,-0.579
0.085,0.239,-0.292
0.139,0.576,-0.838
0.028,0.095,-0.908
0.071,0.265,-0.792
0.066,-0.4,-0.513
0.343,-0.705,0.947
-1.168,0.152,1.353
-0.499,-0.581,1.412
-0.824,-0.057,0.789
-0.235,-0.511,0.791
-0.219,-0.242,0.886
-0.184,0.391,0.343
-0.989,0.62,0.425
0.511,-0.185,0.095
1.309,-0.938,-0.449
0.375,-0.365,-1.261
-0.727,0.919,-1.341
0.571,0.626,-0.857
-0.611,0.298,-0.429
-0.044,1.028,-0.872
-0.279,0.683,-0.703
0.82,-0.688,-0.549
1.414,-3.423,-0.017
0.539,-0.909,1.218
-1.715,-0.221,2.63
-3.473,-0.691,1.113
-0.147,0.057,2.909
-3.416,5.595,2.007
-0.564,3.537,9.389
21.038,-6.936,12.196
37.992,34.631,27.859
-19.513,-10.74,6.626
-36.659,3.67,14.139
-1.938,10.735,-16.901
4.812,0.905,-13.102
-1.909,0.757,-8.691
-1.489,2.49,-2.993
0.859,2.119,-0.21
0.889,1.311,2.078
1.856,0.659,3.726
1.906,-0.364,4.577
3.345,-1.32,4.895
-0.166,-0.622,3.139
0.569,-0.993,2.651
-0.531,-1.031,2.014
0.304,-0.226,2.317
-0.186,-0.489,0.732
0.254,0.745,0.008
-0.077,0.274,-0.487
-0.231,0.356,-0.397
0.393,0.078,-0.523
0.936,-0.473,-0.198
0.081,0.156,-0.28
-0.097,0.091,-0.383
0.206,0.096,0.057
0.099,0.132,-0.173
0.138,0.119,-0.053
-0.018,0.03,-0.281
-0.059,0.056,-0.023
0.049,0.062,-0.195
0.074,0.125,-0.164
0.038,-0.008,-0.106
-0.027,0.098,-0.145
0.093,0.016,-0.034
0.079,0.007,-0.045
-0.043,-0.017,-0.073
-0.008,0.02,-0.224
-0.032,-0.041,-0.142
-0.122,0.093,-0.135
0.129,0.105,0.026
-1.191,1.001,0.575
-1.972,0.781,1.429
-1.689,0.283,1.744
0.476,-0.03,1.045
-0.129,0.565,0.537
1.556,1.221,0.523
2.172,1.748,0.027
1.818,1.508,-0.812
1.881,1.451,-1.233
1.928,0.701,-1.78
2.09,0.467,-2.966
1.446,1.494,-2.848
-1.806,0.544,-5.066
1.714,0.015,-1.151
-1.332,-0.337,0.564
0.243,-0.705,-0.247
-1.139,-0.757,2.481
0.566,-0.847,2.405
1.141,-2.371,2.364
2.117,-1.133,1.446
-6.451,3.296,6.271
-4.571,3.39,0.42
-3.988,2.462,2.183
-1.825,-1.152,0.778
-0.384,-1.432,0.039
5.204,-0.958,-0.175
-4.251,2.99,0.33
2.592,0.508,-2.32
-0.443,0.004,-1.37
1.289,0.015,-0.84
-0.063,0.498,-0.499
-0.383,0.788,-1.142
-1.003,0.333,-0.273
0.958,-2.552,0.684
0.399,-2.064,2.237
-1.639,0.008,0.693
-2.136,-0.097,1.467
-1.597,-0.224,0.686
0.593,1.215,-0.067
-0.631,-0.115,0.408
0.412,0.516,-0.341
-2.072,2.238,1.6
-2.898,5.635,3.476
-0.433,2.355,8.119
24.297,-12.819,9.843
19.37,53.12,18.854
-14.073,-18.069,15.526
-26.454,-5.625,14.6
4.023,14.149,-17.89
0.932,4.168,-11.9
0.35,2.061,-8.524
-0.89,2.012,-3.361
0.009,1.659,-0.898
1.085,1.848,2.135
2.339,1.212,3.306
2.809,0.023,3.82
1.492,-1.146,4.024
0.712,-1.557,4.808
1.056,-1.415,3.641
0.7,-0.551,2.123
0.024,0.486,1.578
-0.284,-0.105,0.612
0.081,-0.298,0.398
-0.048,-0.004,-0.01
-1.36,1.6,-0.419
-0.199,0.249,-0.46
0.027,0.28,-0.517
1.242,-0.172,-0.346
-0.802,0.106,-0.338
0.35,-0.293,0.249
0.339,0.262,0.059
0.28,0.238,0.189
-0.898,0.261,-0.194
-0.027,0.158,-0.39
0.562,-0.044,-0.702
0.267,0.083,-0.581
-0.106,0.123,-0.296
0.044,0.112,-0.191
-0.049,-0.141,-0.131
0.024,0.118,-0.049
0.11,0.044,-0.133
0.139,-0.078,-0.047
-0.016,-0.035,-0.156
0.038,0.07,-0.116
0.019,0.121,-0.019
0.079,0.114,-0.035
0.201,-0.02,-0.123
-0.075,0.028,-0.073
0.039,-0.072,-0.089
-0.029,0.042,-0.125
0.093,0.053,-0.261
-0.027,0.12,-0.033
0.111,-0.046,0.01
-0.124,-0.102,-0.069
-0.103,0.019,-0.096
0.16,0.043,-0.009
-0.014,-0.033,-0.033
-0.099,-0.055,-0.055
-0.107,-0.04,-0.051
0.228,-0.005,-0.055
0.001,-0.03,0.062
-0.229,-0.164,0.3
0.544,-0.094,-0.189
-0.513,0.199,0.182
0.405,-0.167,0.365
0.225,0.029,0.179
-0.819,0.776,0.26
-2.539,1.841,0.66
-0.97,1.028,1.04
0.83,-0.003,0.51
1.997,0.241,-1.041
2.026,0.555,-1.713
1.231,0.201,-2.016
1.325,-0.134,-1.781
0.817,-0.412,-1.498
-1.54,-0.622,1.423
-0.16,-0.249,-0.033
-0.708,-0.222,1.329
-1.197,-0.256,1.319
-1.015,-0.031,1.769
-0.329,0.521,2.259
-1.77,-0.55,2.484
0.376,-1.548,1.999
-0.895,-0.381,0.097
-1.996,1.396,-0.54
0.171,-1.213,0.241
1.41,0.068,-1.971
0.501,1.031,-2.313
-0.279,2.324,-1.988
0.493,1.586,-2.929
-0.362,1.12,-2.293
-0.508,-0.113,0.285
1.881,-1.745,2.7
1.573,-2.429,1.87
-3.94,-0.771,3.011
-2.442,-1.001,2.859
-1.367,3.004,3.004
-1.887,1.478,3.703
-5.08,3.272,3.402
-2.769,6.585,9.203
22.449,-9.688,12.214
41.772,40.593,29.392
0.027,-4.611,14.131
-26.385,-0.922,8.193
-3.13,12.144,-18.467
7.742,1.388,-12.956
-2.893,1.829,-9.991
-0.157,2.966,-4.389
-1.015,2.85,-1.714
0.542,2.811,2.465
2.258,1.069,4.264
2.939,0.382,5.401
2.184,-1.222,5.516
2.417,-1.579,4.096
-0.167,-0.203,4.969
0.158,-0.186,2.002
-0.692,-0.576,2.258
0.054,-0.158,0.825
-0.074,0.005,0.117
-0.011,0.454,0.117
0.679,0.062,-0.339
0.7,0.627,-0.564
0.606,0.82,-0.666
0.17,-0.559,-0.448
0.58,-1.17,0.52
0.09,-1.174,0.296
0.355,-1.128,-1.309
0.182,-0.92,0.447
-0.138,-0.163,0.336
0.729,0.055,0.363
0.711,0.349,-0.372
0.871,0.06,0.036
0.551,-0.162,0.14
0.81,-0.367,0.173
0.04,0.015,0.641
-0.435,-0.206,0.504
-0.617,-0.486,0.535
-0.962,0.161,0.642
-1.012,-0.207,0.461
-0.355,0.136,0.01
-0.623,-0.069,-0.07
-0.278,0.244,-0.457
