acc_x,acc_y,acc_z
4.462,15.63,12.305
-6.316,1.062,-3
-0.168,0.678,0.263
-2.341,3.095,-0.93
-0.927,1.889,-0.846
-1.575,1.072,0.853
1.14,-1.248,-0.105
-0.26,1.03,-0.449
0.646,-0.844,-0.599
0.569,0.354,0.104
-1.537,1.63,1.101
1.114,0.337,1.244
-0.975,1.236,1.078
0.426,-0.109,0.23
-0.123,-0.597,1.317
0.733,-0.553,1.486
-0.007,-0.482,1.062
-0.48,0.721,0.726
-2.662,1.105,-1.241
-0.266,0.625,-0.535
2.947,-0.757,-3.146
0.808,2.054,-2.338
-0.515,1.76,-0.258
-1.699,1.336,3.469
-1.421,0.116,3.916
-1.013,-0.049,5.397
1.761,0.91,5.836
1.049,4.585,3.477
-10.207,12.9,2.317
-2.581,6.246,-3.969
-0.311,0.7,-0.568
0.585,0.581,-0.152
-0.504,0.825,-0.019
-0.136,0.53,0.291
-0.013,1.043,0.199
-0.607,0.58,0.502
-0.199,0.46,-0.07
-0.243,0.292,0.317
0.246,0.435,-0.482
-1.44,0.627,-1.659
0.048,0.388,-0.657
0.07,0.468,-0.586
-2.62,1.312,-0.387
0.422,1.884,-0.537
0.027,0.762,1.062
-0.294,1.536,0.925
0.723,-0.114,1.57
-0.423,0.024,1.859
2.724,-0.065,1.265
-0.064,0.063,1.73
0.722,-1.303,1.287
1.637,-2.252,-0.708
-0.181,0.821,0.178
-0.617,0.408,-1.138
-0.084,0.505,-1.366
-1.954,-0.636,-1.425
2.32,0.608,-2.226
0.139,3.82,-1.256
-1.264,3.082,1.373
-1.581,-0.394,4.007
-2.5,-0.033,4.861
-0.842,4.006,8.877
1.023,8.463,8.899
-4.806,43.654,2.827
18.144,10.356,-13.387
-5.441,10.983,-8.373
2.408,-0.319,-1.953
0.122,0.498,0.136
-0.046,0.623,0.575
0.186,0.14,0.716
-0.387,-1.351,0.941
3.15,-0.845,0.678
0.803,0.391,-0.197
0.193,0.544,-1.184
-0.358,0.194,0.033
-0.329,0.112,-0.124
0.161,0.117,-0.596
-1.395,0.37,-0.356
0.465,-0.189,-0.87
1.144,-1.349,-3.581
0.634,-0.592,-2.938
2.15,0.698,-4.298
-9.348,8.772,2.149
1.19,-4.736,-3.687
0.889,1.717,0.616
1.043,2.96,-2.739
-1.654,3.416,-0.371
-0.301,3.834,0.829
-0.25,2.972,3.059
-1.665,1.048,3.694
-4.05,-0.414,6.02
-3.678,1.431,9.519
-5.57,1.343,10.841
1.652,2.035,12.533
0.945,7.479,16.077
3.429,26.594,21.116
0.41,33.48,5.146
5.376,18.08,-3.122
-13.278,28.15,-1.915
-15.797,12.57,-22.874
-2.857,1.212,-8.022
-4.895,1.064,-6.015
-1.228,0.795,-3.385
0.966,1.536,-1.903
-0.353,0.584,0.856
0.758,0.823,0.953
-0.14,0.562,1.363
-0.098,0.409,0.95
-0.51,0.687,0.586
0.483,-0.189,0.535
-0.569,0.393,0.525
-0.519,0.351,0.084
-0.079,0.129,0.54
-0.194,-0.025,0.155
-0.3,0.24,0.22
0.349,0.033,0.279
-0.469,0.322,0.499
0.129,0.156,-0.195
-0.127,0.046,0.288
-0.186,0.108,-0.021
-0.001,0.229,0.001
-0.045,-0.092,-0.072
-0.662,0.212,-0.101
-0.379,0.182,-0.674
-0.991,0.772,-1.206
-1.004,1.289,-2.268
-2.353,1.132,-1.667
-0.525,1.572,-2.04
-1.113,-1.074,-0.082
-0.032,0.885,-0.805
0.396,1.145,-0.78
-1.049,-0.041,2.609
0.979,2.141,1.747
1.463,-0.626,1.716
0.608,1.893,1.794
2.113,-0.93,1.767
0.307,1.002,1.323
1.843,-0.05,1.582
-0.261,0.072,1.794
0.76,-0.781,1.057
-0.89,-0.593,0.912
1.833,0.22,0.606
-0.856,-0.523,0.633
0.364,0.494,0.664
1.268,-0.269,-0.461
2.695,-0.719,-1.269
0.31,-0.266,-0.842
-0.271,0.387,-0.314
-0.195,0.898,-0.637
-0.48,0.458,-0.46
-0.559,0.233,-0.437
-0.174,0.524,-0.159
-0.914,0.104,-0.044
-0.51,-0.269,0.16
0.503,0.086,-0.183
-0.778,-0.042,0.455
0.732,-0.243,0.362
0.343,-0.105,-0.219
-0.316,0.041,-0.314
-0.154,0.166,-0.57
-0.381,0.235,-0.423
-0.013,-0.019,-0.248
-0.275,0.115,-0.073
-0.028,0.025,-0.273
0.01,0.503,-0.079
-0.306,-0.32,-0.067
-0.049,0.037,0.086
-0.113,-0.191,-0.338
-0.29,0.052,0.011
0.05,0.143,0.047
0.121,-0.072,0.027
-0.143,0.003,-0.042
0.199,0.043,0.096
0.197,-0.074,-0.061
-0.192,-0.229,-0.07
0.094,0.237,0.225
0.127,-0.2,-0.132
2.739,-0.322,-1.311
-0.674,0.29,0.352
