acc_x,acc_y,acc_z
-0.05,0.087,1.165
0.196,0.151,0.685
0.098,0.426,0.664
0.292,-0.113,0.908
0.02,-0.354,0.157
-0.059,0.323,0.78
-0.27,0.105,1.059
-0.268,-0.268,1.334
0.101,0.189,1.358
-0.318,0.009,1.501
0.05,-0.178,0.959
0.078,-0.107,1.048
-2.36,-0.023,1.055
-0.78,-3.765,0.971
-5.291,-3.341,0.493
-6.881,-5.533,0.585
17.896,30.457,0.084
15.577,2.44,0.024
4.617,3.545,-0.112
3.71,0.379,-0.209
-1.433,1.06,-0.193
1.007,-0.387,-0.001
-0.186,0.346,-0.61
-0.749,0.291,-0.04
-0.833,-0.095,
-0.632,0.218,
-0.885,1.039,
-1.284,0.475,
0.056,1.95,
-2.193,-0.066,
0.25,0.927,
-1.102,-1.128,
0.338,-1.596,
-0.803,0.202,
-0.424,-0.853,
-0.603,-0.24,
-0.888,-0.365,
-0.536,0.042,
-1.253,-0.342,
-0.459,0.098,
-0.432,-0.251,
-0.725,0.332,
-0.004,0.511,
-0.534,0.282,
0.219,-0.339,
-0.332,-0.409,
0.029,-0.206,
-0.058,0.116,
0.06,0.117,
-0.199,0.212,
-0.007,0.161,
-0.236,0.182,
0.604,0.613,
-0.488,-0.089,
0.696,0.389,
0.118,0.651,
