acc_x,acc_y,acc_z
-0.294,0.433,-0.001
-0.369,0.425,0.365
-0.371,0.379,0.077
-0.658,0.102,-0.136
0.334,0.586,0.269
0.163,-0.597,0.202
0.207,-0.86,0.473
-0.595,-0.265,-0.201
-0.31,0.486,0.086
0.301,0.664,0.198
3.913,-0.766,6.526
21.363,-19.736,14.746
24.067,9.179,30.108
-24.722,-7.765,4.646
6.303,12.212,8.212
-8.504,18.379,-18.584
-8.374,20.249,-18.172
-9.095,5.816,-3.973
-0.865,3.086,-1.695
0.624,0.619,1.316
0.195,1.023,1.042
0.938,-0.188,0.736
0.836,-1.146,0.788
0.68,-0.752,0.93
0.19,-0.357,0.372
-0.348,0.25,-0.141
-0.583,-0.103,0.246
-1.231,1.289,-0.477
-1.333,0.057,-0.592
-0.833,-0.834,0.107
0.197,1.287,-0.607
0.996,0.108,-0.07
-0.369,1.094,-0.183
-0.264,0.592,-0.755
-0.331,0.293,-0.781
1.38,0.981,-0.321
0.315,0.134,-0.132
-0.322,0.374,0.242
0.69,-0.312,-0.366
0.43,0.258,1.895
-0.406,-0.423,-0.76
0.404,-0.374,1.151
-0.648,-0.223,0.175
-0.334,0.612,-0.537
0.339,0.314,-0.221
-0.649,0.758,-0.416
-0.712,1.45,0.329
-0.676,0.568,-1.172
-1.707,0.477,0.27
3.293,0.475,0.231
-0.828,-0.294,0.676
0.366,-0.159,1.618
0.788,-0.226,1.104
-0.79,-0.537,0.065
0.086,-0.831,0.068
0.45,-0.178,0.522
0.862,0.059,0.528
-0.242,0.031,0.251
0.902,-0.578,-0.636
-0.804,-0.622,-0.385
0.279,-0.022,-0.052
-0.731,0.775,-0.073
0.575,0.413,-0.827
-0.681,0.484,-0.455
-0.583,0.277,-0.147
-1.163,-0.162,-0.214
-0.402,-0.12,-0.364
0.51,-0.045,-0.111
-0.046,-0.262,-0.565
0.492,0.53,-0.313
-0.34,-0.017,-0.851
-0.323,0.09,-1.167
1.747,-0.416,-0.249
0.034,-0.661,0.064
0.357,0.27,0.615
0.032,0.6,-0.275
-0.967,0.517,-0.619
0.06,0.316,-0.339
-0.78,0.445,-0.027
-0.149,-0.041,-0.247
